group,z_true,n_questions,correct_diagnosis,hamming
valide (z_true dans Z),algebra_advanced|algebra_linear|probability_statistics,11,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|arithmetic_base,16,True,0
valide (z_true dans Z),arithmetic_base|probability_statistics,17,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry|arithmetic_base|fractions_ratios|geometry,19,True,0
valide (z_true dans Z),arithmetic_base|probability_statistics,24,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry,15,True,0
valide (z_true dans Z),algebra_linear|arithmetic_base,21,True,0
valide (z_true dans Z),algebra_linear|arithmetic_base,16,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|arithmetic_base|fractions_ratios|probability_statistics,19,False,1
valide (z_true dans Z),algebra_linear|analytic_geometry|arithmetic_base,28,False,1
valide (z_true dans Z),algebra_linear|analytic_geometry|arithmetic_base|fractions_ratios|geometry,19,True,0
valide (z_true dans Z),algebra_linear|analytic_geometry|arithmetic_base|probability_statistics,24,True,0
valide (z_true dans Z),algebra_linear|analytic_geometry|arithmetic_base|geometry|probability_statistics,23,False,1
valide (z_true dans Z),algebra_linear|analytic_geometry|arithmetic_base|fractions_ratios,14,False,1
valide (z_true dans Z),algebra_advanced|algebra_linear|arithmetic_base|fractions_ratios|probability_statistics,27,True,0
valide (z_true dans Z),algebra_linear|analytic_geometry|arithmetic_base|fractions_ratios|geometry,19,True,0
valide (z_true dans Z),probability_statistics,23,True,0
valide (z_true dans Z),algebra_linear|analytic_geometry|arithmetic_base|geometry,26,False,1
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry|arithmetic_base,18,True,0
valide (z_true dans Z),algebra_linear|analytic_geometry|arithmetic_base,28,False,1
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry|arithmetic_base,19,True,0
valide (z_true dans Z),arithmetic_base|fractions_ratios|probability_statistics,19,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|arithmetic_base|fractions_ratios,16,True,0
valide (z_true dans Z),algebra_linear|analytic_geometry|arithmetic_base|fractions_ratios|geometry,25,True,0
valide (z_true dans Z),algebra_linear|analytic_geometry|arithmetic_base|fractions_ratios|probability_statistics,20,True,0
valide (z_true dans Z),algebra_linear|arithmetic_base|fractions_ratios|probability_statistics,22,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry|arithmetic_base|geometry,24,False,1
valide (z_true dans Z),algebra_advanced|algebra_linear|arithmetic_base|fractions_ratios|geometry|probability_statistics,17,False,1
valide (z_true dans Z),algebra_linear|arithmetic_base|fractions_ratios|probability_statistics,16,False,1
valide (z_true dans Z),algebra_linear|arithmetic_base|probability_statistics,19,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear,21,True,0
valide (z_true dans Z),algebra_linear|analytic_geometry|arithmetic_base|fractions_ratios,17,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry,13,True,0
valide (z_true dans Z),algebra_linear|analytic_geometry|arithmetic_base|probability_statistics,19,True,0
valide (z_true dans Z),algebra_linear,15,True,0
valide (z_true dans Z),algebra_linear|analytic_geometry|arithmetic_base|geometry|probability_statistics,29,False,1
valide (z_true dans Z),algebra_advanced|algebra_linear|arithmetic_base|fractions_ratios|geometry|probability_statistics,19,False,1
valide (z_true dans Z),algebra_linear|probability_statistics,14,True,0
valide (z_true dans Z),algebra_linear|analytic_geometry|arithmetic_base|fractions_ratios|geometry,28,False,1
valide (z_true dans Z),arithmetic_base|fractions_ratios|probability_statistics,11,True,0
valide (z_true dans Z),arithmetic_base,29,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry|arithmetic_base|fractions_ratios|probability_statistics,21,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|arithmetic_base|fractions_ratios|geometry|probability_statistics,19,True,0
valide (z_true dans Z),arithmetic_base,29,True,0
valide (z_true dans Z),algebra_linear|analytic_geometry|arithmetic_base|probability_statistics,16,True,0
valide (z_true dans Z),algebra_linear|analytic_geometry|arithmetic_base|fractions_ratios|probability_statistics,19,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|arithmetic_base|geometry|probability_statistics,26,True,0
valide (z_true dans Z),arithmetic_base|fractions_ratios|probability_statistics,13,True,0
valide (z_true dans Z),algebra_linear|analytic_geometry|arithmetic_base|geometry|probability_statistics,19,False,1
valide (z_true dans Z),algebra_linear|analytic_geometry|arithmetic_base|fractions_ratios|probability_statistics,30,False,1
valide (z_true dans Z),algebra_linear|analytic_geometry,10,True,0
valide (z_true dans Z),(vide),15,True,0
valide (z_true dans Z),algebra_linear|analytic_geometry,19,True,0
valide (z_true dans Z),algebra_linear|arithmetic_base|probability_statistics,21,True,0
valide (z_true dans Z),algebra_linear|analytic_geometry,16,True,0
valide (z_true dans Z),probability_statistics,20,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|arithmetic_base,29,False,1
valide (z_true dans Z),algebra_linear|arithmetic_base|geometry|probability_statistics,28,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|arithmetic_base|probability_statistics,29,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|probability_statistics,28,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|arithmetic_base|fractions_ratios|geometry|probability_statistics,30,False,2
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry|arithmetic_base|geometry,19,True,0
valide (z_true dans Z),algebra_linear|arithmetic_base|fractions_ratios|probability_statistics,28,True,0
