policy,z_seed,question_index,longueur_arc_cumulee
adaptatif,32,19,11.946746
adaptatif,32,20,12.456552
adaptatif,32,21,13.169985
adaptatif,32,22,13.597751
adaptatif,32,23,14.103019
adaptatif,32,24,14.809324
adaptatif,32,25,15.118902
adaptatif,32,26,15.424018
adaptatif,33,0,0.000000
adaptatif,33,1,0.600697
adaptatif,33,2,1.226444
adaptatif,33,3,2.059847
adaptatif,33,4,2.849782
adaptatif,33,5,3.373678
adaptatif,33,6,4.337370
adaptatif,33,7,4.765576
adaptatif,33,8,5.374662
adaptatif,33,9,5.706444
adaptatif,33,10,6.214975
adaptatif,33,11,6.843808
adaptatif,33,12,7.384660
adaptatif,33,13,7.733770
adaptatif,33,14,7.984926
adaptatif,34,0,0.000000
adaptatif,34,1,0.600697
adaptatif,34,2,1.226444
adaptatif,34,3,1.841998
adaptatif,34,4,2.467746
adaptatif,34,5,3.083300
adaptatif,34,6,3.541944
adaptatif,34,7,4.000587
adaptatif,34,8,4.963670
adaptatif,34,9,5.663901
adaptatif,34,10,6.626984
adaptatif,34,11,7.327215
adaptatif,34,12,8.286926
adaptatif,34,13,9.003141
adaptatif,34,14,9.339142
adaptatif,34,15,9.675144
adaptatif,34,16,9.986481
adaptatif,34,17,10.294796
adaptatif,35,0,0.000000
adaptatif,35,1,0.870585
adaptatif,35,2,1.660520
adaptatif,35,3,2.450455
adaptatif,35,4,3.414147
adaptatif,35,5,3.913274
adaptatif,35,6,4.530213
adaptatif,35,7,4.992329
adaptatif,35,8,5.601415
adaptatif,35,9,6.036523
adaptatif,35,10,6.467877
adaptatif,35,11,6.747889
adaptatif,36,0,0.000000
adaptatif,36,1,0.600697
adaptatif,36,2,1.390632
adaptatif,36,3,2.016379
adaptatif,36,4,2.631933
adaptatif,36,5,3.131060
adaptatif,36,6,3.959954
adaptatif,36,7,4.418597
adaptatif,36,8,4.857509
adaptatif,36,9,5.285715
adaptatif,36,10,5.675578
adaptatif,36,11,6.098225
adaptatif,36,12,6.519523
adaptatif,36,13,6.778704
adaptatif,36,14,7.542112
adaptatif,36,15,8.082964
adaptatif,36,16,8.432074
adaptatif,36,17,8.683230
adaptatif,36,18,8.930374
adaptatif,37,0,0.000000
adaptatif,37,1,0.870585
adaptatif,37,2,1.496332
adaptatif,37,3,2.111886
adaptatif,37,4,2.737634
adaptatif,37,5,3.571037
adaptatif,37,6,4.094932
adaptatif,37,7,5.061691
adaptatif,37,8,5.568755
adaptatif,37,9,6.196604
adaptatif,37,10,6.743926
adaptatif,37,11,7.100034
adaptatif,37,12,7.431816
adaptatif,37,13,7.943387
adaptatif,37,14,8.572537
adaptatif,37,15,9.518429
adaptatif,37,16,10.100819
adaptatif,37,17,10.531970
adaptatif,37,18,10.787957
adaptatif,37,19,10.978098
adaptatif,37,20,11.117636
adaptatif,37,21,11.284957
adaptatif,37,22,11.387382
adaptatif,37,23,11.461635
adaptatif,38,0,0.000000
adaptatif,38,1,0.600697
adaptatif,38,2,1.226444
adaptatif,38,3,2.059847
adaptatif,38,4,2.685594
adaptatif,38,5,3.518997
adaptatif,38,6,4.042893
adaptatif,38,7,4.566788
adaptatif,38,8,4.994994
adaptatif,38,9,5.326776
adaptatif,38,10,5.658558
adaptatif,38,11,6.167090
adaptatif,38,12,6.795922
adaptatif,38,13,7.739869
adaptatif,38,14,8.283330
adaptatif,38,15,8.714482
adaptatif,38,16,8.965637
adaptatif,39,0,0.000000
adaptatif,39,1,0.600697
adaptatif,39,2,1.390632
adaptatif,39,3,2.016379
adaptatif,39,4,2.849782
adaptatif,39,5,3.373678
adaptatif,39,6,3.872805
adaptatif,39,7,4.489743
adaptatif,39,8,4.951859
adaptatif,39,9,5.911570
adaptatif,39,10,6.540720
adaptatif,39,11,7.078752
adaptatif,39,12,7.424882
